raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9(A1),raw_10(C1),raw_11(A2),raw_12(C2)
1,0.2,0.8,0.006,0.747,0.0064,0.283,0,0.057,0,0.814,0.81
1,0.6,0.4,0.0019,0.603,0.003,0.156,0,0.04865,0,0.667,0.67
1,0.9,0.1,0.0005,0.351,0.0018,0.041,0,0.116,0,0.358,0.36
0.1,0.1,0.9,0.065,0.883,0.066,0.337,0.15,0.53,0.53,0.54,0.55
0.1,0.4,0.6,0.013,0.701,0.014,0.399,0.497,0.12,0.12,0.489,0.48
0.1,0.8,0.2,0.002,0.402,0.004,0.462,0.892,0.04,0.01,0.313,0.31
0.1,0.97,0.03,0.0002,0.773,0.0012,0.48,0.973,0.013,0,0.152,0.15
0.05,0.2,0.8,0.1,0.832,0.102,0.372,0.318,0.52,0.52,0.506,0.5
0.05,0.4,0.6,0.0385,0.682,0.0425,0.492,0.552,0.343,0.34,0.44,0.44
0.05,0.8,0.2,0.0046,0.37,0.0081,0.541,0.874,0.067,0.08,0.267,0.26
0.05,0.97,0.03,0,0.152,0.0015,0.588,0.98,0.0125,0.03,0.0126,0.12
0.025,0.4,0.6,0.14,0.676,0.152,0.437,0.517,1,1,0.415,0.47
0.025,0.8,0.2,0.014,0.344,0.022,0.56,0.884,0.17,0.17,0.24,0.24
0.025,0.97,0.3,0.01,0.135,0.0023,0.612,0.984,0.087,0.08,0.108,0.11
